Model,n_runs,ROC-AUC,ROC-AUC SD,ROC-AUC CI Low,ROC-AUC CI High,PR-AUC,PR-AUC SD,PR-AUC CI Low,PR-AUC CI High
OTRec,1,0.8697704229040317,0.0,0.8697704229040317,0.8697704229040317,0.2808264896023115,0.0,0.2808264896023115,0.2808264896023115
OTTree (CatBoost),1,0.859944925460307,0.0,0.859944925460307,0.859944925460307,0.22896536489490843,0.0,0.22896536489490843,0.22896536489490843
Target Mean Baseline,1,0.8324864526018281,0.0,0.8324864526018281,0.8324864526018281,0.2987767360644544,0.0,0.2987767360644544,0.2987767360644544
Matrix Factorization,1,0.5525717184165827,0.0,0.5525717184165827,0.5525717184165827,0.0499084313442372,0.0,0.0499084313442372,0.0499084313442372
TF-IDF cosine,1,0.5119450226409175,0.0,0.5119450226409175,0.5119450226409175,0.04185937038657269,0.0,0.04185937038657269,0.04185937038657269
Disease Mean Baseline,1,0.5939731048690047,0.0,0.5939731048690047,0.5939731048690047,0.051880742164167534,0.0,0.051880742164167534,0.051880742164167534
Open Targets Score,1,0.5586678720755341,0.0,0.5586678720755341,0.5586678720755341,0.08226213937068544,0.0,0.08226213937068544,0.08226213937068544
