rung,variant,aux_weight,roc_auc,pr_auc,bin0_roc,bin0_pr,bin1_roc,bin1_pr,bin2plus_roc,bin2plus_pr
R0,"full, stored text (reference run)",0.1,0.876933,0.286191,0.8875,0.255,0.7218,0.0128,0.8687,0.2926
R1,text-only,0.1,0.8733428647405531,0.2797331197369703,0.8813749209934619,0.2024180191530777,0.7119615942443067,0.0124323283075884,0.8664207978985754,0.2893052920123545
R2,+ontology,0.1,0.8706963158425729,0.2752050943126427,0.8848244254381032,0.1723493192550041,0.7158623063589634,0.0128940965954604,0.8640021367358303,0.2892913341945147
R3,+GO/pathway,0.1,0.8775494362766255,0.2826201798214544,0.8881027090751888,0.2183368340507667,0.7218259604840311,0.0127959230854763,0.8695534716494174,0.291627119422105
R4,+tractability (full),0.1,0.8709525750223573,0.2820831782746955,0.8918293839978069,0.2367095797991832,0.7275942048506518,0.0138559188026068,0.8627458001368441,0.2902208493316299
R5,"full, -auxiliary head",0.0,0.878531964193711,0.2929749452468658,0.8854804947072495,0.2573279562851214,0.7247419706827538,0.0128863452041767,0.8703585251836455,0.3000204583140117
