Model,Hit@1,Hit@5,Precision@5,Recall@5,Hit@10,Hit@25,MRR
OTRec,0.682,0.806,0.645,0.321,0.848,0.897,0.741
OTTree (CatBoost),0.487,0.732,0.537,0.272,0.848,0.951,0.600
