gene,disease,diseaseId
RAB37,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB37,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB37,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB37,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB37,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB37,adult glioblastoma,MONDO_0020690
RAB37,acute myeloblastic leukemia with maturation,EFO_0003028
RAB37,adult T acute lymphoblastic leukemia,EFO_1001936
RAB37,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB37,adult acute lymphoblastic leukemia,MONDO_0003541
RAB37,upper aerodigestive tract neoplasm,EFO_0004284
RAB37,adult B acute lymphoblastic leukemia,EFO_1001935
RAB37,adult hepatocellular carcinoma,MONDO_0016216
RAB37,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB37,childhood acute myeloid leukemia,EFO_0000330
RAB37,refractory hairy cell leukemia,MONDO_0004110
RAB37,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB37,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB37,core binding factor acute myeloid leukemia,EFO_1002001
RAB37,biliary tract neoplasm,EFO_0003891
RAB37,refractory malignant neoplasm,MONDO_0036501
RAB37,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB37,urethra cancer,MONDO_0004192
RAB37,grade II glioma,MONDO_0021639
RAB37,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB37,lethal midline granuloma,EFO_1001013
RAB37,small intestine lymphoma,MONDO_0001852
RAB37,pituitary-dependent Cushing's disease,EFO_1001110
RAB37,Malignant Ovarian Brenner Tumor,EFO_1000357
RAB37,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB40C,refractory hairy cell leukemia,MONDO_0004110
RAB40C,adult B acute lymphoblastic leukemia,EFO_1001935
RAB40C,core binding factor acute myeloid leukemia,EFO_1002001
RAB40C,adult oligodendroglioma,MONDO_0002543
RAB40C,refractory malignant neoplasm,MONDO_0036501
RAB40C,acute myeloblastic leukemia with maturation,EFO_0003028
RAB40C,adult glioblastoma,MONDO_0020690
RAB40C,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB40C,small intestine lymphoma,MONDO_0001852
RAB40C,upper aerodigestive tract neoplasm,EFO_0004284
RAB40C,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB40C,childhood acute myeloid leukemia,EFO_0000330
RAB40C,biliary tract neoplasm,EFO_0003891
RAB40C,adult T acute lymphoblastic leukemia,EFO_1001936
RAB40C,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB40C,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB40C,urethra cancer,MONDO_0004192
RAB40C,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB40C,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB40C,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB40C,pituitary-dependent Cushing's disease,EFO_1001110
RAB40C,adult hepatocellular carcinoma,MONDO_0016216
RAB40C,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB40C,grade II glioma,MONDO_0021639
RAB40C,adult acute lymphoblastic leukemia,MONDO_0003541
RAB40C,lethal midline granuloma,EFO_1001013
RAB40C,ureter urothelial carcinoma,EFO_1001973
RAB40C,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB40C,Malignant Ovarian Brenner Tumor,EFO_1000357
RAB40C,verrucous carcinoma of oral cavity,MONDO_0021538
RAB6C,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB6C,core binding factor acute myeloid leukemia,EFO_1002001
RAB6C,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB6C,acute myeloblastic leukemia with maturation,EFO_0003028
RAB6C,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB6C,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB6C,adult hepatocellular carcinoma,MONDO_0016216
RAB6C,childhood acute myeloid leukemia,EFO_0000330
RAB6C,refractory hairy cell leukemia,MONDO_0004110
RAB6C,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB6C,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB6C,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB6C,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB6C,adult T acute lymphoblastic leukemia,EFO_1001936
RAB6C,adult B acute lymphoblastic leukemia,EFO_1001935
RAB6C,adult glioblastoma,MONDO_0020690
RAB6C,adult acute lymphoblastic leukemia,MONDO_0003541
RAB6C,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB6C,small intestine lymphoma,MONDO_0001852
RAB6C,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB6C,upper aerodigestive tract neoplasm,EFO_0004284
RAB6C,lethal midline granuloma,EFO_1001013
RAB6C,pituitary-dependent Cushing's disease,EFO_1001110
RAB6C,refractory malignant neoplasm,MONDO_0036501
RAB6C,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB6C,chronic renal failure syndrome,MONDO_0024327
RAB6C,grade II glioma,MONDO_0021639
RAB6C,Fallopian Tube Carcinosarcoma,EFO_1000252
RAB6C,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB6C,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB3A,adult B acute lymphoblastic leukemia,EFO_1001935
RAB3A,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB3A,core binding factor acute myeloid leukemia,EFO_1002001
RAB3A,adult hepatocellular carcinoma,MONDO_0016216
RAB3A,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB3A,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB3A,adult acute lymphoblastic leukemia,MONDO_0003541
RAB3A,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB3A,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB3A,adult T acute lymphoblastic leukemia,EFO_1001936
RAB3A,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB3A,refractory hairy cell leukemia,MONDO_0004110
RAB3A,grade II glioma,MONDO_0021639
RAB3A,nasal cavity carcinoma,MONDO_0003212
RAB3A,pituitary-dependent Cushing's disease,EFO_1001110
RAB3A,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB3A,childhood acute myeloid leukemia,EFO_0000330
RAB3A,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB3A,upper aerodigestive tract neoplasm,EFO_0004284
RAB3A,lethal midline granuloma,EFO_1001013
RAB3A,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB3A,acute myeloblastic leukemia with maturation,EFO_0003028
RAB3A,adult glioblastoma,MONDO_0020690
RAB3A,Disorder of amino acid and other organic acid metabolism,Orphanet_79062
RAB3A,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB3A,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB3A,oral cavity mucoepidermoid carcinoma,MONDO_0044964
RAB3A,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB3A,verrucous carcinoma of oral cavity,MONDO_0021538
RAB3A,adult oligodendroglioma,MONDO_0002543
RAB35,adult acute lymphoblastic leukemia,MONDO_0003541
RAB35,adult hepatocellular carcinoma,MONDO_0016216
RAB35,small intestine lymphoma,MONDO_0001852
RAB35,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB35,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB35,pituitary-dependent Cushing's disease,EFO_1001110
RAB35,Disorder of amino acid and other organic acid metabolism,Orphanet_79062
RAB35,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB35,grade II glioma,MONDO_0021639
RAB35,upper aerodigestive tract neoplasm,EFO_0004284
RAB35,refractory hairy cell leukemia,MONDO_0004110
RAB35,biliary tract neoplasm,EFO_0003891
RAB35,adult B acute lymphoblastic leukemia,EFO_1001935
RAB35,adult T acute lymphoblastic leukemia,EFO_1001936
RAB35,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB35,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB35,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB35,adult glioblastoma,MONDO_0020690
RAB35,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB35,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB35,acute myeloblastic leukemia with maturation,EFO_0003028
RAB35,core binding factor acute myeloid leukemia,EFO_1002001
RAB35,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB35,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB35,childhood acute myeloid leukemia,EFO_0000330
RAB35,adult oligodendroglioma,MONDO_0002543
RAB35,chronic renal failure syndrome,MONDO_0024327
RAB35,acute myeloblastic leukemia without maturation,EFO_0003027
RAB35,shoulder impingement syndrome,EFO_1001178
RAB35,HIV-Associated Lipodystrophy Syndrome,EFO_1001348
RAB29,adult B acute lymphoblastic leukemia,EFO_1001935
RAB29,pituitary-dependent Cushing's disease,EFO_1001110
RAB29,chronic renal failure syndrome,MONDO_0024327
RAB29,grade II glioma,MONDO_0021639
RAB29,core binding factor acute myeloid leukemia,EFO_1002001
RAB29,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB29,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB29,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB29,shoulder impingement syndrome,EFO_1001178
RAB29,refractory hairy cell leukemia,MONDO_0004110
RAB29,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB29,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB29,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB29,adult hepatocellular carcinoma,MONDO_0016216
RAB29,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB29,adult glioblastoma,MONDO_0020690
RAB29,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB29,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB29,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB29,adult acute lymphoblastic leukemia,MONDO_0003541
RAB29,adult T acute lymphoblastic leukemia,EFO_1001936
RAB29,small intestine lymphoma,MONDO_0001852
RAB29,fallopian tube cancer,MONDO_0002158
RAB29,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB29,childhood acute myeloid leukemia,EFO_0000330
RAB29,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB29,blindness (disorder),MONDO_0001941
RAB29,acute myeloblastic leukemia with maturation,EFO_0003028
RAB29,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB29,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB38,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB38,Disorder of amino acid and other organic acid metabolism,Orphanet_79062
RAB38,refractory hairy cell leukemia,MONDO_0004110
RAB38,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB38,adult acute lymphoblastic leukemia,MONDO_0003541
RAB38,core binding factor acute myeloid leukemia,EFO_1002001
RAB38,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB38,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB38,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB38,adult T acute lymphoblastic leukemia,EFO_1001936
RAB38,adult B acute lymphoblastic leukemia,EFO_1001935
RAB38,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB38,childhood acute myeloid leukemia,EFO_0000330
RAB38,upper aerodigestive tract neoplasm,EFO_0004284
RAB38,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB38,acute myeloblastic leukemia with maturation,EFO_0003028
RAB38,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB38,adult hepatocellular carcinoma,MONDO_0016216
RAB38,adult glioblastoma,MONDO_0020690
RAB38,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB38,grade II glioma,MONDO_0021639
RAB38,refractory malignant neoplasm,MONDO_0036501
RAB38,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB38,pituitary-dependent Cushing's disease,EFO_1001110
RAB38,lethal midline granuloma,EFO_1001013
RAB38,biliary tract neoplasm,EFO_0003891
RAB38,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB38,small intestine lymphoma,MONDO_0001852
RAB38,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB38,shoulder impingement syndrome,EFO_1001178
RAB33A,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB33A,acute myeloblastic leukemia with maturation,EFO_0003028
RAB33A,core binding factor acute myeloid leukemia,EFO_1002001
RAB33A,childhood acute myeloid leukemia,EFO_0000330
RAB33A,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB33A,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB33A,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB33A,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB33A,adult hepatocellular carcinoma,MONDO_0016216
RAB33A,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB33A,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB33A,refractory hairy cell leukemia,MONDO_0004110
RAB33A,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB33A,adult T acute lymphoblastic leukemia,EFO_1001936
RAB33A,adult acute lymphoblastic leukemia,MONDO_0003541
RAB33A,adult B acute lymphoblastic leukemia,EFO_1001935
RAB33A,grade II glioma,MONDO_0021639
RAB33A,refractory malignant neoplasm,MONDO_0036501
RAB33A,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB33A,upper aerodigestive tract neoplasm,EFO_0004284
RAB33A,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB33A,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB33A,urethra cancer,MONDO_0004192
RAB33A,lethal midline granuloma,EFO_1001013
RAB33A,biliary tract neoplasm,EFO_0003891
RAB33A,small intestine lymphoma,MONDO_0001852
RAB33A,adult glioblastoma,MONDO_0020690
RAB33A,fallopian tube cancer,MONDO_0002158
RAB33A,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB33A,pituitary-dependent Cushing's disease,EFO_1001110
RAB1B,acute myeloblastic leukemia with maturation,EFO_0003028
RAB1B,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB1B,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB1B,childhood acute myeloid leukemia,EFO_0000330
RAB1B,adult acute lymphoblastic leukemia,MONDO_0003541
RAB1B,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB1B,core binding factor acute myeloid leukemia,EFO_1002001
RAB1B,adult B acute lymphoblastic leukemia,EFO_1001935
RAB1B,adult T acute lymphoblastic leukemia,EFO_1001936
RAB1B,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB1B,adult hepatocellular carcinoma,MONDO_0016216
RAB1B,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB1B,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB1B,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB1B,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB1B,adult glioblastoma,MONDO_0020690
RAB1B,refractory hairy cell leukemia,MONDO_0004110
RAB1B,upper aerodigestive tract neoplasm,EFO_0004284
RAB1B,urethra cancer,MONDO_0004192
RAB1B,small intestine lymphoma,MONDO_0001852
RAB1B,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB1B,pituitary-dependent Cushing's disease,EFO_1001110
RAB1B,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB1B,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB1B,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB1B,chronic renal failure syndrome,MONDO_0024327
RAB1B,fallopian tube cancer,MONDO_0002158
RAB1B,ureter urothelial carcinoma,EFO_1001973
RAB1B,Fallopian Tube Carcinosarcoma,EFO_1000252
RAB1B,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB3D,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB3D,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB3D,upper aerodigestive tract neoplasm,EFO_0004284
RAB3D,refractory hairy cell leukemia,MONDO_0004110
RAB3D,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB3D,adult glioblastoma,MONDO_0020690
RAB3D,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB3D,adult acute lymphoblastic leukemia,MONDO_0003541
RAB3D,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB3D,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB3D,acute myeloblastic leukemia with maturation,EFO_0003028
RAB3D,adult hepatocellular carcinoma,MONDO_0016216
RAB3D,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB3D,adult B acute lymphoblastic leukemia,EFO_1001935
RAB3D,adult T acute lymphoblastic leukemia,EFO_1001936
RAB3D,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB3D,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB3D,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB3D,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB3D,childhood acute myeloid leukemia,EFO_0000330
RAB3D,core binding factor acute myeloid leukemia,EFO_1002001
RAB3D,urethra cancer,MONDO_0004192
RAB3D,biliary tract neoplasm,EFO_0003891
RAB3D,Disorder of amino acid and other organic acid metabolism,Orphanet_79062
RAB3D,refractory malignant neoplasm,MONDO_0036501
RAB3D,grade II glioma,MONDO_0021639
RAB3D,lethal midline granuloma,EFO_1001013
RAB3D,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB3D,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB3D,pituitary-dependent Cushing's disease,EFO_1001110
RAB9B,childhood acute myeloid leukemia,EFO_0000330
RAB9B,adult T acute lymphoblastic leukemia,EFO_1001936
RAB9B,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB9B,grade II glioma,MONDO_0021639
RAB9B,adult acute lymphoblastic leukemia,MONDO_0003541
RAB9B,upper aerodigestive tract neoplasm,EFO_0004284
RAB9B,adult hepatocellular carcinoma,MONDO_0016216
RAB9B,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB9B,core binding factor acute myeloid leukemia,EFO_1002001
RAB9B,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB9B,refractory hairy cell leukemia,MONDO_0004110
RAB9B,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB9B,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB9B,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB9B,acute myeloblastic leukemia with maturation,EFO_0003028
RAB9B,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB9B,adult B acute lymphoblastic leukemia,EFO_1001935
RAB9B,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB9B,refractory malignant neoplasm,MONDO_0036501
RAB9B,biliary tract neoplasm,EFO_0003891
RAB9B,urethra cancer,MONDO_0004192
RAB9B,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB9B,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB9B,pituitary-dependent Cushing's disease,EFO_1001110
RAB9B,adult glioblastoma,MONDO_0020690
RAB9B,lethal midline granuloma,EFO_1001013
RAB9B,Malignant Ovarian Brenner Tumor,EFO_1000357
RAB9B,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB9B,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB9B,chronic renal failure syndrome,MONDO_0024327
RAB6B,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB6B,adult B acute lymphoblastic leukemia,EFO_1001935
RAB6B,core binding factor acute myeloid leukemia,EFO_1002001
RAB6B,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB6B,acute myeloblastic leukemia with maturation,EFO_0003028
RAB6B,adult acute lymphoblastic leukemia,MONDO_0003541
RAB6B,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB6B,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB6B,childhood acute myeloid leukemia,EFO_0000330
RAB6B,adult T acute lymphoblastic leukemia,EFO_1001936
RAB6B,adult hepatocellular carcinoma,MONDO_0016216
RAB6B,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB6B,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB6B,refractory hairy cell leukemia,MONDO_0004110
RAB6B,upper aerodigestive tract neoplasm,EFO_0004284
RAB6B,small intestine lymphoma,MONDO_0001852
RAB6B,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB6B,adult glioblastoma,MONDO_0020690
RAB6B,urethra cancer,MONDO_0004192
RAB6B,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB6B,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB6B,pituitary-dependent Cushing's disease,EFO_1001110
RAB6B,refractory malignant neoplasm,MONDO_0036501
RAB6B,adult oligodendroglioma,MONDO_0002543
RAB6B,biliary tract neoplasm,EFO_0003891
RAB6B,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB6B,grade II glioma,MONDO_0021639
RAB6B,Disorder of amino acid and other organic acid metabolism,Orphanet_79062
RAB6B,fallopian tube cancer,MONDO_0002158
RAB6B,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB28,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB28,acute myeloblastic leukemia with maturation,EFO_0003028
RAB28,adult hepatocellular carcinoma,MONDO_0016216
RAB28,core binding factor acute myeloid leukemia,EFO_1002001
RAB28,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB28,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB28,adult B acute lymphoblastic leukemia,EFO_1001935
RAB28,adult T acute lymphoblastic leukemia,EFO_1001936
RAB28,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB28,adult acute lymphoblastic leukemia,MONDO_0003541
RAB28,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB28,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB28,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB28,adult glioblastoma,MONDO_0020690
RAB28,small intestine lymphoma,MONDO_0001852
RAB28,grade II glioma,MONDO_0021639
RAB28,upper aerodigestive tract neoplasm,EFO_0004284
RAB28,refractory malignant neoplasm,MONDO_0036501
RAB28,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB28,urethra cancer,MONDO_0004192
RAB28,childhood acute myeloid leukemia,EFO_0000330
RAB28,refractory hairy cell leukemia,MONDO_0004110
RAB28,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB28,lethal midline granuloma,EFO_1001013
RAB28,biliary tract neoplasm,EFO_0003891
RAB28,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB28,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB28,pituitary-dependent Cushing's disease,EFO_1001110
RAB28,ureter urothelial carcinoma,EFO_1001973
RAB28,Fallopian Tube Carcinosarcoma,EFO_1000252
RAB42,biliary tract neoplasm,EFO_0003891
RAB42,refractory malignant neoplasm,MONDO_0036501
RAB42,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB42,upper aerodigestive tract neoplasm,EFO_0004284
RAB42,small intestine lymphoma,MONDO_0001852
RAB42,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB42,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB42,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB42,lethal midline granuloma,EFO_1001013
RAB42,adult hepatocellular carcinoma,MONDO_0016216
RAB42,adult acute lymphoblastic leukemia,MONDO_0003541
RAB42,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB42,urethra cancer,MONDO_0004192
RAB42,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB42,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB42,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB42,childhood acute myeloid leukemia,EFO_0000330
RAB42,grade II glioma,MONDO_0021639
RAB42,adult B acute lymphoblastic leukemia,EFO_1001935
RAB42,adult T acute lymphoblastic leukemia,EFO_1001936
RAB42,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB42,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB42,refractory hairy cell leukemia,MONDO_0004110
RAB42,chronic renal failure syndrome,MONDO_0024327
RAB42,acute myeloblastic leukemia with maturation,EFO_0003028
RAB42,core binding factor acute myeloid leukemia,EFO_1002001
RAB42,adult glioblastoma,MONDO_0020690
RAB42,high grade ovarian serous adenocarcinoma,EFO_1001958
RAB42,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB42,fallopian tube cancer,MONDO_0002158
RAB10,core binding factor acute myeloid leukemia,EFO_1002001
RAB10,adult hepatocellular carcinoma,MONDO_0016216
RAB10,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB10,acute myeloblastic leukemia with maturation,EFO_0003028
RAB10,upper aerodigestive tract neoplasm,EFO_0004284
RAB10,adult B acute lymphoblastic leukemia,EFO_1001935
RAB10,adult T acute lymphoblastic leukemia,EFO_1001936
RAB10,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB10,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB10,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB10,refractory hairy cell leukemia,MONDO_0004110
RAB10,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB10,refractory malignant neoplasm,MONDO_0036501
RAB10,biliary tract neoplasm,EFO_0003891
RAB10,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB10,adult glioblastoma,MONDO_0020690
RAB10,childhood acute myeloid leukemia,EFO_0000330
RAB10,adult acute lymphoblastic leukemia,MONDO_0003541
RAB10,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB10,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB10,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB10,chronic renal failure syndrome,MONDO_0024327
RAB10,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB10,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB10,fallopian tube squamous cell carcinoma,MONDO_0003503
RAB10,urethra cancer,MONDO_0004192
RAB10,small intestine lymphoma,MONDO_0001852
RAB10,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB10,Malignant Ovarian Brenner Tumor,EFO_1000357
RAB10,verrucous carcinoma of oral cavity,MONDO_0021538
RAB8A,core binding factor acute myeloid leukemia,EFO_1002001
RAB8A,adult hepatocellular carcinoma,MONDO_0016216
RAB8A,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB8A,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB8A,adult acute lymphoblastic leukemia,MONDO_0003541
RAB8A,urethra cancer,MONDO_0004192
RAB8A,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB8A,adult B acute lymphoblastic leukemia,EFO_1001935
RAB8A,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB8A,Primary Peritoneal Serous Adenocarcinoma,EFO_1000494
RAB8A,grade II glioma,MONDO_0021639
RAB8A,adult T acute lymphoblastic leukemia,EFO_1001936
RAB8A,biliary tract neoplasm,EFO_0003891
RAB8A,nasal cavity carcinoma,MONDO_0003212
RAB8A,childhood acute myeloid leukemia,EFO_0000330
RAB8A,small intestine lymphoma,MONDO_0001852
RAB8A,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
