gene_a,gene_b,shared_top50,excess_vs_null,null_percentile
RAB36,RAB5B,17,2.2,53.5
RAB3D,RAB1B,17,2.2,53.5
RAB26,RAB11B,17,2.2,53.5
RAB4A,RAB11B,17,2.2,53.5
RAB5C,RAB1A,17,2.2,53.5
RAB5C,RAB19,17,2.2,53.5
RAB5C,RAB29,17,2.2,53.5
RAB32,RAB19,17,2.2,53.5
RAB11A,RAB23,17,2.2,53.5
RAB11A,RAB2A,17,2.2,53.5
RAB14,RAB40C,17,2.2,53.5
RAB14,RAB6C,17,2.2,53.5
RAB11A,RAB40A,17,2.2,53.5
RAB27A,RAB19,17,2.2,53.5
RAB27A,RAB8B,17,2.2,53.5
RAB4B,RAB6A,17,2.2,53.5
RAB4B,RAB11B,17,2.2,53.5
RAB36,RAB6A,17,2.2,53.5
RAB32,RAB33A,17,2.2,53.5
RAB21,RAB40A,17,2.2,53.5
RAB21,RAB40C,17,2.2,53.5
RAB29,RAB11B,17,2.2,53.5
RAB15,RAB3B,17,2.2,53.5
RAB18,RAB6B,17,2.2,53.5
RAB18,RAB8A,17,2.2,53.5
CRACR2A,RAB37,17,2.2,53.5
CRACR2A,RAB1B,17,2.2,53.5
CRACR2A,RAB44,17,2.2,53.5
RAB22A,RAB1B,17,2.2,53.5
RAB5C,RAB43,17,2.2,53.5
RAB5C,RAB8A,17,2.2,53.5
RAB7A,RAB5B,17,2.2,53.5
RAB1A,RAB20,17,2.2,53.5
RAB40B,RAB39A,17,2.2,53.5
RAB10,RAB34,17,2.2,53.5
RAB40B,RAB24,17,2.2,53.5
RAB32,RAB2B,17,2.2,53.5
RAB7A,RAB30,17,2.2,53.5
RAB8B,RAB26,17,2.2,53.5
RAB8B,RAB3B,17,2.2,53.5
RASEF,RAB40C,17,2.2,53.5
RAB1A,RAB37,17,2.2,53.5
RAB1A,RAB44,17,2.2,53.5
RAB11A,RAB38,17,2.2,53.5
RAB11A,RAB17,17,2.2,53.5
RAB30,RAB33B,17,2.2,53.5
RASEF,RAB33B,17,2.2,53.5
RAB33A,RAB26,17,2.2,53.5
RAB33A,RAB3B,17,2.2,53.5
RAB33A,RAB43,17,2.2,53.5
RAB11A,RASEF,17,2.2,53.5
RAB11A,RAB4B,17,2.2,53.5
RAB11A,RAB26,17,2.2,53.5
RAB13,RAB40C,17,2.2,53.5
RAB29,RAB37,17,2.2,53.5
RAB25,RAB6A,17,2.2,53.5
RAB22A,RAB13,17,2.2,53.5
RAB38,RAB44,17,2.2,53.5
RAB29,RAB2B,17,2.2,53.5
RAB5A,RAB40A,17,2.2,53.5
RAB21,RAB34,17,2.2,53.5
RAB2A,RAB15,17,2.2,53.5
RAB2A,RAB40B,17,2.2,53.5
RAB2A,RAB19,17,2.2,53.5
RAB22A,RAB30,17,2.2,53.5
RAB39B,RAB26,17,2.2,53.5
RAB39B,RAB24,17,2.2,53.5
RAB39B,RAB28,17,2.2,53.5
RAB34,RAB30,17,2.2,53.5
RAB34,RAB20,17,2.2,53.5
RAB6B,RAB31,17,2.2,53.5
RAB6B,RAB39B,17,2.2,53.5
RAB6B,RAB8B,17,2.2,53.5
RAB3C,RAB39B,17,2.2,53.5
RAB3C,RAB33B,17,2.2,53.5
RAB35,RAB37,17,2.2,53.5
RAB35,RAB6C,17,2.2,53.5
RAB23,RAB33B,17,2.2,53.5
RAB7A,RASEF,17,2.2,53.5
RAB5B,RAB42,17,2.2,53.5
RAB9B,RAB8A,17,2.2,53.5
RAB9A,RAB19,17,2.2,53.5
RAB9A,RAB4A,17,2.2,53.5
RAB9A,RAB24,17,2.2,53.5
RAB21,RAB22A,17,2.2,53.5
RAB21,CRACR2A,17,2.2,53.5
RAB21,RAB41,17,2.2,53.5
RAB5B,RAB6C,17,2.2,53.5
RAB5B,RAB22A,17,2.2,53.5
RAB5B,CRACR2A,17,2.2,53.5
RAB3D,RAB5B,17,2.2,53.5
RAB3D,RAB9A,17,2.2,53.5
RAB9A,RAB20,17,2.2,53.5
RAB36,RAB28,17,2.2,53.5
RAB38,RAB2B,17,2.2,53.5
RAB38,RAB15,17,2.2,53.5
RAB9A,CRACR2A,17,2.2,53.5
RAB30,RAB41,17,2.2,53.5
RAB9B,RAB4A,17,2.2,53.5
RAB9B,RAB37,17,2.2,53.5
RAB9A,RAB44,17,2.2,53.5
RAB38,RAB11B,17,2.2,53.5
RAB41,RAB37,17,2.2,53.5
RAB3D,RAB3A,17,2.2,53.5
RAB19,RAB6D,17,2.2,53.5
RAB41,RAB3C,17,2.2,53.5
RAB41,RAB6B,17,2.2,53.5
RAB5A,RAB44,17,2.2,53.5
RAB19,RAB40A,17,2.2,53.5
RAB9B,RAB6D,17,2.2,53.5
RAB9B,RAB44,17,2.2,53.5
RAB2B,RAB8A,17,2.2,53.5
RAB2B,RAB3B,17,2.2,53.5
RAB27B,RASEF,17,2.2,53.5
RAB40C,RAB44,17,2.2,53.5
RAB3D,RAB6A,17,2.2,53.5
RAB27B,RAB18,17,2.2,53.5
RAB1B,RAB6C,17,2.2,53.5
RAB6A,RAB6C,17,2.2,53.5
RAB27B,RAB9B,17,2.2,53.5
RAB37,RAB6A,16,1.2,48.1
RAB27B,RAB2B,16,1.2,48.1
RAB1B,RAB40C,16,1.2,48.1
CRACR2A,RAB20,16,1.2,48.1
RAB36,RAB9A,16,1.2,48.1
RAB36,RAB38,16,1.2,48.1
RAB15,RAB6C,16,1.2,48.1
RAB32,RASEF,16,1.2,48.1
RAB32,RAB7B,16,1.2,48.1
RAB14,RAB6B,16,1.2,48.1
RAB27A,RAB40B,16,1.2,48.1
RAB41,RAB24,16,1.2,48.1
RAB19,RAB43,16,1.2,48.1
RAB9A,RAB25,16,1.2,48.1
RAB9B,RAB4B,16,1.2,48.1
RAB9A,RAB6C,16,1.2,48.1
RAB9A,RAB15,16,1.2,48.1
RAB18,RAB29,16,1.2,48.1
RAB36,RAB26,16,1.2,48.1
RAB38,RAB39B,16,1.2,48.1
RAB3D,RAB35,16,1.2,48.1
RAB5B,RAB37,16,1.2,48.1
RAB33A,RAB6D,16,1.2,48.1
RAB2A,RAB33A,16,1.2,48.1
RAB7A,RAB31,16,1.2,48.1
RAB7A,RAB1B,16,1.2,48.1
RAB7A,RAB6A,16,1.2,48.1
RAB5B,RAB41,16,1.2,48.1
RAB2A,RAB11B,16,1.2,48.1
RAB5B,RAB40C,16,1.2,48.1
RAB35,RAB22A,16,1.2,48.1
RAB35,RAB6B,16,1.2,48.1
RAB29,RAB33A,16,1.2,48.1
RAB2A,RAB8B,16,1.2,48.1
RAB29,RAB9B,16,1.2,48.1
RAB34,RAB13,16,1.2,48.1
RAB3C,RAB11B,16,1.2,48.1
RAB7A,RAB44,16,1.2,48.1
RAB39B,RAB43,16,1.2,48.1
RAB39B,RAB37,16,1.2,48.1
RAB5A,RAB19,16,1.2,48.1
RAB5A,RAB39B,16,1.2,48.1
RAB25,RAB1B,16,1.2,48.1
RAB33A,RAB5A,16,1.2,48.1
RAB22A,RAB20,16,1.2,48.1
RAB36,RAB42,16,1.2,48.1
RAB38,RAB7B,16,1.2,48.1
RAB5A,RAB8B,16,1.2,48.1
RAB11A,RAB3C,16,1.2,48.1
RAB11A,RAB28,16,1.2,48.1
RAB39B,RAB44,16,1.2,48.1
RAB28,RAB11B,16,1.2,48.1
RAB33A,RAB8A,16,1.2,48.1
RAB10,RAB33B,16,1.2,48.1
RAB10,RAB6B,16,1.2,48.1
RAB9B,RAB25,16,1.2,48.1
RAB9B,RAB1A,16,1.2,48.1
RAB7A,RAB9A,16,1.2,48.1
RAB8B,RAB8A,16,1.2,48.1
RASEF,RAB6C,16,1.2,48.1
RASEF,RAB4A,16,1.2,48.1
RAB29,RAB15,16,1.2,48.1
RAB29,RAB6B,16,1.2,48.1
RAB40B,RAB37,16,1.2,48.1
RAB8B,RAB6D,16,1.2,48.1
RAB8B,RAB40A,16,1.2,48.1
RAB8B,RAB43,16,1.2,48.1
RAB7A,RAB35,16,1.2,48.1
RAB18,RAB40A,16,1.2,48.1
RAB17,RAB39B,16,1.2,48.1
RAB18,RAB1A,16,1.2,48.1
RAB32,RAB15,16,1.2,48.1
RAB11A,RAB39A,16,1.2,48.1
RAB15,RAB8A,16,1.2,48.1
RAB4B,RAB1B,16,1.2,48.1
RAB36,RAB24,16,1.2,48.1
RAB36,RAB39A,16,1.2,48.1
RAB40B,RASEF,16,1.2,48.1
RAB11A,RAB24,16,1.2,48.1
RAB5C,RAB20,16,1.2,48.1
RAB27A,RAB33B,16,1.2,48.1
RAB27A,RAB11B,16,1.2,48.1
RAB5C,RAB23,16,1.2,48.1
RAB5C,RAB17,16,1.2,48.1
RAB36,RAB17,16,1.2,48.1
RAB18,RAB7B,16,1.2,48.1
RAB3D,RAB31,16,1.2,48.1
RAB15,RAB6D,16,1.2,48.1
RAB40B,RAB5A,16,1.2,48.1
RAB27A,RAB33A,16,1.2,48.1
CRACR2A,RAB30,16,1.2,48.1
RAB31,RAB6C,16,1.2,48.1
RAB3A,RAB33B,16,1.2,48.1
RAB27A,RAB11A,16,1.2,48.1
RAB24,RAB11B,16,1.2,48.1
RAB3D,RAB2B,16,1.2,48.1
RAB2B,RAB6C,16,1.2,48.1
RAB18,RAB6C,16,1.2,48.1
RAB27B,RAB5C,16,1.2,48.1
RAB39A,RAB11B,16,1.2,48.1
RAB2B,RAB1A,16,1.2,48.1
RAB2B,RAB26,16,1.2,48.1
RAB37,RAB1B,16,1.2,48.1
RAB5A,RAB11B,16,1.2,48.1
RAB19,RAB6B,16,1.2,48.1
RAB9B,RAB7B,16,1.2,48.1
RAB41,RAB28,16,1.2,48.1
RAB14,RAB40A,15,0.2,42.9
RAB20,RAB40B,15,0.2,42.9
RAB5C,RAB25,15,0.2,42.9
RAB31,RAB40A,15,0.2,42.9
RAB2B,RAB40C,15,0.2,42.9
RAB2B,RAB40A,15,0.2,42.9
RAB33A,RAB1A,15,0.2,42.9
RAB31,RAB7B,15,0.2,42.9
RAB27B,RAB33A,15,0.2,42.9
RAB40A,RAB1B,15,0.2,42.9
RAB25,RAB39B,15,0.2,42.9
RAB27B,RAB15,15,0.2,42.9
RAB33A,RAB40A,15,0.2,42.9
RASEF,RAB40A,15,0.2,42.9
RASEF,RAB43,15,0.2,42.9
RASEF,RAB11B,15,0.2,42.9
RAB28,RAB7B,15,0.2,42.9
RAB34,RASEF,15,0.2,42.9
RAB40A,RAB7B,15,0.2,42.9
RAB39A,RAB7B,15,0.2,42.9
RAB31,RAB40C,15,0.2,42.9
RAB39B,RAB4B,15,0.2,42.9
RAB39B,RAB4A,15,0.2,42.9
RAB39B,RAB3B,15,0.2,42.9
RAB9A,RAB4B,15,0.2,42.9
RAB9A,RAB40A,15,0.2,42.9
RAB19,RAB8A,15,0.2,42.9
RAB19,RAB6C,15,0.2,42.9
RAB23,RASEF,15,0.2,42.9
RAB13,RAB33B,15,0.2,42.9
RAB36,RAB44,15,0.2,42.9
RAB20,RAB33B,15,0.2,42.9
RAB21,RAB33B,15,0.2,42.9
RAB9A,RAB37,15,0.2,42.9
RAB9A,RAB40C,15,0.2,42.9
RAB33A,RAB6C,15,0.2,42.9
RAB30,RAB40B,15,0.2,42.9
RAB9B,RAB6C,15,0.2,42.9
RAB30,RAB6B,15,0.2,42.9
RAB5C,RAB32,15,0.2,42.9
RAB5C,RAB38,15,0.2,42.9
RAB27A,RAB39B,15,0.2,42.9
RAB39B,RAB39A,15,0.2,42.9
RAB39B,RAB42,15,0.2,42.9
RAB6B,RAB8A,15,0.2,42.9
RAB41,RAB44,15,0.2,42.9
RAB7A,RAB2B,15,0.2,42.9
RASEF,RAB6D,15,0.2,42.9
RAB36,RAB4B,15,0.2,42.9
RAB41,RAB39A,15,0.2,42.9
RAB5B,RAB40A,15,0.2,42.9
RAB18,RAB3D,15,0.2,42.9
RAB36,RAB6B,15,0.2,42.9
RAB27A,RAB41,15,0.2,42.9
RAB36,RAB43,15,0.2,42.9
RAB5C,RAB39A,15,0.2,42.9
RAB30,RAB7B,15,0.2,42.9
RAB5C,RAB4A,15,0.2,42.9
RAB38,RAB41,15,0.2,42.9
RAB5C,RAB24,15,0.2,42.9
RAB22A,RAB31,15,0.2,42.9
RAB22A,RAB37,15,0.2,42.9
RAB1A,RAB15,15,0.2,42.9
RAB34,RAB14,15,0.2,42.9
RAB13,RAB6B,15,0.2,42.9
RAB5C,RAB28,15,0.2,42.9
RAB5C,RAB26,15,0.2,42.9
RAB1A,RAB8B,15,0.2,42.9
RAB10,RAB40B,15,0.2,42.9
RAB29,RAB39B,15,0.2,42.9
RAB29,RAB8B,15,0.2,42.9
RAB11A,RAB5A,15,0.2,42.9
RAB5A,RAB33B,15,0.2,42.9
RAB35,RAB40C,15,0.2,42.9
RAB17,RAB41,15,0.2,42.9
RAB17,RAB6B,15,0.2,42.9
RAB35,CRACR2A,15,0.2,42.9
RAB2A,RAB39B,15,0.2,42.9
RAB2A,RASEF,15,0.2,42.9
RAB21,RAB6B,15,0.2,42.9
RAB3D,RASEF,15,0.2,42.9
RAB33B,RAB37,15,0.2,42.9
RAB33B,RAB1B,15,0.2,42.9
RAB32,RAB39B,15,0.2,42.9
RAB36,RAB32,15,0.2,42.9
RAB6A,RAB40C,15,0.2,42.9
RAB27B,RAB8B,15,0.2,42.9
RAB27B,RAB19,15,0.2,42.9
CRACR2A,RAB31,15,0.2,42.9
RAB36,RAB25,15,0.2,42.9
RAB27B,RAB7B,14,-0.8,38.1
RAB42,RAB7B,14,-0.8,38.1
RAB40A,RAB6A,14,-0.8,38.1
RAB6A,RAB7B,14,-0.8,38.1
RAB5C,RAB22A,14,-0.8,38.1
RAB2B,CRACR2A,14,-0.8,38.1
RAB37,RAB11B,14,-0.8,38.1
RASEF,RAB4B,14,-0.8,38.1
RASEF,RAB3B,14,-0.8,38.1
RAB25,RASEF,14,-0.8,38.1
RAB23,RAB7B,14,-0.8,38.1
RAB17,RASEF,14,-0.8,38.1
RAB18,RAB40C,14,-0.8,38.1
RAB5C,RAB6D,14,-0.8,38.1
RAB25,RAB41,14,-0.8,38.1
RAB23,RAB39B,14,-0.8,38.1
RAB5B,RAB7B,14,-0.8,38.1
RAB36,RAB3B,14,-0.8,38.1
RAB36,RAB40A,14,-0.8,38.1
RAB8B,RAB6C,14,-0.8,38.1
RAB8B,RAB7B,14,-0.8,38.1
RAB5C,RAB3C,14,-0.8,38.1
RAB5C,RAB4B,14,-0.8,38.1
RAB34,RAB5B,14,-0.8,38.1
RAB34,RAB35,14,-0.8,38.1
RAB1A,RAB6B,14,-0.8,38.1
RAB1A,RAB19,14,-0.8,38.1
RAB11A,RAB30,14,-0.8,38.1
RAB38,RAB6B,14,-0.8,38.1
RAB38,RASEF,14,-0.8,38.1
RAB5C,RAB3B,14,-0.8,38.1
RAB8A,RAB7B,14,-0.8,38.1
RAB4B,RAB7B,14,-0.8,38.1
RAB29,RAB19,14,-0.8,38.1
RAB30,RAB11B,14,-0.8,38.1
RAB36,RAB4A,14,-0.8,38.1
RAB10,RAB11B,14,-0.8,38.1
RAB36,RAB5A,14,-0.8,38.1
RAB3C,RAB7B,14,-0.8,38.1
RAB6B,RAB26,14,-0.8,38.1
RAB7A,RAB9B,14,-0.8,38.1
RAB34,RAB9A,14,-0.8,38.1
RAB32,RAB6B,14,-0.8,38.1
RAB34,RAB44,14,-0.8,38.1
RAB41,RAB42,14,-0.8,38.1
RAB3D,RAB9B,14,-0.8,38.1
RAB9B,RAB40A,14,-0.8,38.1
RAB1A,RAB39B,14,-0.8,38.1
RAB11A,RAB37,14,-0.8,38.1
RAB20,RAB7B,14,-0.8,38.1
RAB10,RAB11A,14,-0.8,38.1
RAB32,RAB41,14,-0.8,38.1
RAB9A,RAB33B,14,-0.8,38.1
RAB13,RAB7B,14,-0.8,38.1
RAB34,RAB1B,14,-0.8,38.1
RAB34,RAB2B,14,-0.8,38.1
RAB22A,RAB2B,14,-0.8,38.1
RAB34,RAB6A,14,-0.8,38.1
RAB39B,RAB8A,14,-0.8,38.1
RAB41,RAB4B,14,-0.8,38.1
RAB33B,RAB6A,14,-0.8,38.1
RAB33B,RAB44,14,-0.8,38.1
RAB27A,RAB36,14,-0.8,38.1
RAB37,RAB7B,14,-0.8,38.1
RAB39B,RAB6D,14,-0.8,38.1
RASEF,RAB39A,14,-0.8,38.1
RAB7A,RAB18,14,-0.8,38.1
RAB26,RAB7B,14,-0.8,38.1
RAB4A,RAB7B,14,-0.8,38.1
RAB15,RAB40C,14,-0.8,38.1
RAB3B,RAB7B,14,-0.8,38.1
RAB3D,RAB19,14,-0.8,38.1
RAB14,RAB33B,14,-0.8,38.1
RAB40C,RAB7B,14,-0.8,38.1
RAB44,RAB7B,14,-0.8,38.1
RAB17,RAB7B,14,-0.8,38.1
RAB40B,RAB13,14,-0.8,38.1
RAB36,RAB23,14,-0.8,38.1
RAB2A,RAB6B,14,-0.8,38.1
RAB35,RAB33B,14,-0.8,38.1
RAB35,RAB40A,14,-0.8,38.1
RAB21,RAB40B,14,-0.8,38.1
RAB43,RAB7B,13,-1.8,33.6
RAB6C,RAB7B,13,-1.8,33.6
RAB28,RASEF,13,-1.8,33.6
RASEF,RAB26,13,-1.8,33.6
RAB25,RAB7B,13,-1.8,33.6
RAB3D,RAB8B,13,-1.8,33.6
RAB5C,CRACR2A,13,-1.8,33.6
RAB39B,RAB6C,13,-1.8,33.6
RAB34,RAB31,13,-1.8,33.6
RAB40B,RAB6A,13,-1.8,33.6
RAB20,RAB6B,13,-1.8,33.6
RAB20,RAB11B,13,-1.8,33.6
RAB15,RAB6B,13,-1.8,33.6
RAB36,RAB6D,13,-1.8,33.6
RAB27B,RAB3A,13,-1.8,33.6
RAB1B,RAB7B,13,-1.8,33.6
RAB3A,RAB40C,13,-1.8,33.6
RAB27A,RAB6B,13,-1.8,33.6
RAB27A,RASEF,13,-1.8,33.6
RAB21,RAB11B,13,-1.8,33.6
RAB40B,RAB1B,13,-1.8,33.6
RAB3A,RAB3B,13,-1.8,33.6
RAB3A,CRACR2A,13,-1.8,33.6
RAB13,RAB11B,13,-1.8,33.6
RAB5A,RAB41,13,-1.8,33.6
RAB5A,RAB6B,13,-1.8,33.6
RAB6B,RAB4A,13,-1.8,33.6
RAB21,RAB11A,13,-1.8,33.6
RAB3C,RAB6B,13,-1.8,33.6
RAB5B,RAB40B,13,-1.8,33.6
RAB19,RAB7B,13,-1.8,33.6
RAB41,RAB26,13,-1.8,33.6
RAB41,RAB4A,13,-1.8,33.6
RAB41,RAB3B,13,-1.8,33.6
RAB5A,RAB7B,13,-1.8,33.6
RAB19,RAB40C,13,-1.8,33.6
RAB9A,RAB7B,13,-1.8,33.6
RAB9B,RAB40C,13,-1.8,33.6
RAB9A,RAB40B,13,-1.8,33.6
RAB9A,RAB11B,13,-1.8,33.6
RAB5B,RAB33B,13,-1.8,33.6
RAB18,RAB34,13,-1.8,33.6
RAB33A,RAB40C,13,-1.8,33.6
RAB41,RAB43,13,-1.8,33.6
RAB3D,RAB5C,13,-1.8,33.6
RAB5C,RAB37,13,-1.8,33.6
RAB5C,RAB6C,13,-1.8,33.6
RASEF,RAB44,13,-1.8,33.6
RAB7A,RAB3A,13,-1.8,33.6
RAB7A,RAB5C,13,-1.8,33.6
RAB6B,RAB43,13,-1.8,33.6
RAB6B,RAB39A,13,-1.8,33.6
CRACR2A,RAB7B,13,-1.8,33.6
RAB18,RAB22A,13,-1.8,33.6
RAB18,CRACR2A,13,-1.8,33.6
RAB23,RAB41,13,-1.8,33.6
RAB5C,RAB42,13,-1.8,33.6
RAB7A,RAB15,13,-1.8,33.6
RAB7A,RAB19,13,-1.8,33.6
RASEF,RAB42,13,-1.8,33.6
RAB11A,RAB13,13,-1.8,33.6
RAB9B,RAB22A,13,-1.8,33.6
RAB9B,CRACR2A,13,-1.8,33.6
RAB11A,RAB9A,13,-1.8,33.6
RAB11A,RAB20,13,-1.8,33.6
RAB40B,RAB44,13,-1.8,33.6
CRACR2A,RAB15,13,-1.8,33.6
RAB27B,RAB6B,13,-1.8,33.6
RAB27B,RAB39B,13,-1.8,33.6
RAB14,RAB40B,13,-1.8,33.6
RAB3D,RAB33A,13,-1.8,33.6
RAB3D,RAB15,13,-1.8,33.6
RAB31,RAB33B,13,-1.8,33.6
RAB36,RAB29,12,-2.8,29.4
RAB14,RAB11B,12,-2.8,29.4
RAB36,RAB6C,12,-2.8,29.4
RAB11A,RAB14,12,-2.8,29.4
RAB39B,RAB40A,12,-2.8,29.4
RAB34,RAB19,12,-2.8,29.4
RAB27A,RAB7B,12,-2.8,29.4
RAB22A,RAB33A,12,-2.8,29.4
RAB22A,RAB15,12,-2.8,29.4
RAB22A,RAB19,12,-2.8,29.4
RAB22A,RAB6B,12,-2.8,29.4
RAB29,RAB41,12,-2.8,29.4
RAB34,RAB9B,12,-2.8,29.4
RAB7A,RAB33A,12,-2.8,29.4
RAB8B,RAB40C,12,-2.8,29.4
RAB18,RAB33B,12,-2.8,29.4
RAB35,RAB40B,12,-2.8,29.4
RAB35,RAB11B,12,-2.8,29.4
RAB23,RAB6B,12,-2.8,29.4
RAB6B,RAB3B,12,-2.8,29.4
RAB6B,RAB24,12,-2.8,29.4
RAB3C,RASEF,12,-2.8,29.4
RAB41,RAB40A,12,-2.8,29.4
RAB2A,RAB7B,12,-2.8,29.4
RAB22A,RAB7B,12,-2.8,29.4
RAB5C,RAB40C,12,-2.8,29.4
RAB33A,RAB7B,12,-2.8,29.4
RAB5B,RAB11B,12,-2.8,29.4
RAB36,RAB8A,12,-2.8,29.4
RAB6B,RAB28,12,-2.8,29.4
RAB7A,RAB8B,12,-2.8,29.4
RAB7A,RAB7B,12,-2.8,29.4
RAB41,RAB6D,12,-2.8,29.4
RAB3A,RAB40A,12,-2.8,29.4
RAB3A,RAB32,12,-2.8,29.4
RAB36,RAB2A,12,-2.8,29.4
RAB3A,RAB6C,12,-2.8,29.4
RAB3A,RAB6D,12,-2.8,29.4
RAB3A,RAB42,12,-2.8,29.4
RAB27B,RAB36,12,-2.8,29.4
RAB6A,RAB11B,12,-2.8,29.4
RAB6D,RAB7B,12,-2.8,29.4
RAB11B,RAB44,12,-2.8,29.4
RAB1B,RAB11B,12,-2.8,29.4
RAB3D,RAB7B,12,-2.8,29.4
RAB11A,RAB1B,12,-2.8,29.4
RAB11A,RAB6A,12,-2.8,29.4
RAB11A,RAB44,12,-2.8,29.4
RAB36,RAB7B,12,-2.8,29.4
RAB11A,RAB5B,12,-2.8,29.4
RAB11A,RAB35,12,-2.8,29.4
RAB22A,RAB8B,12,-2.8,29.4
RAB6B,RAB42,12,-2.8,29.4
RAB6B,RAB6C,12,-2.8,29.4
RAB6B,RAB6D,12,-2.8,29.4
RAB34,RAB15,12,-2.8,29.4
RASEF,RAB24,12,-2.8,29.4
RAB1A,RAB7B,12,-2.8,29.4
RAB40B,RAB31,12,-2.8,29.4
RAB24,RAB7B,12,-2.8,29.4
RAB2B,RAB33B,12,-2.8,29.4
CRACR2A,RAB19,12,-2.8,29.4
CRACR2A,RAB33A,12,-2.8,29.4
CRACR2A,RAB8B,12,-2.8,29.4
RAB3A,RAB28,12,-2.8,29.4
RAB5A,RASEF,12,-2.8,29.4
RAB10,RASEF,12,-2.8,29.4
RAB2B,RAB7B,11,-3.8,25.5
RAB13,RASEF,11,-3.8,25.5
RAB2A,RAB41,11,-3.8,25.5
RAB35,RAB7B,11,-3.8,25.5
RAB10,RAB7B,11,-3.8,25.5
RAB9A,RASEF,11,-3.8,25.5
RAB9B,RAB33B,11,-3.8,25.5
RAB11A,RAB31,11,-3.8,25.5
RAB3A,RAB26,11,-3.8,25.5
RAB3A,RAB4A,11,-3.8,25.5
RAB3A,RAB43,11,-3.8,25.5
RAB31,RAB11B,11,-3.8,25.5
RAB3A,RAB1A,11,-3.8,25.5
RAB15,RAB33B,11,-3.8,25.5
RAB15,RAB7B,11,-3.8,25.5
RAB40B,RAB19,11,-3.8,25.5
RAB22A,RAB39B,11,-3.8,25.5
RAB33A,RAB33B,11,-3.8,25.5
RAB3D,RAB6B,11,-3.8,25.5
RAB3D,RAB39B,11,-3.8,25.5
RASEF,RAB37,11,-3.8,25.5
RASEF,RAB6A,11,-3.8,25.5
RAB18,RAB40B,11,-3.8,25.5
RAB25,RAB6B,11,-3.8,25.5
RAB5C,RAB40A,11,-3.8,25.5
RAB36,RAB1A,11,-3.8,25.5
RAB6B,RAB7B,11,-3.8,25.5
RAB34,RAB33A,11,-3.8,25.5
RAB21,RAB7B,11,-3.8,25.5
RAB34,RAB8B,11,-3.8,25.5
RAB39B,RAB40C,11,-3.8,25.5
RAB34,RAB7B,11,-3.8,25.5
RAB41,RAB6C,11,-3.8,25.5
RAB6B,RAB4B,11,-3.8,25.5
RAB6B,RAB33B,11,-3.8,25.5
RAB6B,RAB37,11,-3.8,25.5
RAB15,RAB40B,11,-3.8,25.5
RAB1A,RAB41,11,-3.8,25.5
RAB36,RAB40C,11,-3.8,25.5
RAB30,RASEF,11,-3.8,25.5
RAB19,RAB33B,11,-3.8,25.5
RAB41,RAB8A,11,-3.8,25.5
RAB3A,RASEF,11,-3.8,25.5
RAB3A,RAB8A,11,-3.8,25.5
RAB3A,RAB4B,11,-3.8,25.5
RAB27B,RAB41,11,-3.8,25.5
RAB2B,RAB40B,11,-3.8,25.5
CRACR2A,RAB6B,11,-3.8,25.5
RAB3A,RAB38,11,-3.8,25.5
RAB3A,RAB22A,11,-3.8,25.5
RAB3A,RAB17,11,-3.8,25.5
RAB3A,RAB25,11,-3.8,25.5
CRACR2A,RAB39B,10,-4.8,22.1
RAB3A,RAB3C,10,-4.8,22.1
RAB2B,RAB11B,10,-4.8,22.1
RAB40B,RAB7B,10,-4.8,22.1
RAB11A,RAB2B,10,-4.8,22.1
RAB11A,RAB15,10,-4.8,22.1
RAB14,RAB7B,10,-4.8,22.1
RAB9B,RAB40B,10,-4.8,22.1
RAB7A,RAB39B,10,-4.8,22.1
RAB41,RAB7B,10,-4.8,22.1
RAB21,RASEF,10,-4.8,22.1
RAB29,RAB7B,10,-4.8,22.1
RAB3A,RAB39A,10,-4.8,22.1
RAB39B,RAB33B,10,-4.8,22.1
RAB18,RAB11B,10,-4.8,22.1
RAB5C,RAB7B,10,-4.8,22.1
RAB8B,RAB33B,10,-4.8,22.1
RAB5C,RAB33B,10,-4.8,22.1
RAB39B,RAB7B,10,-4.8,22.1
RAB5C,RAB34,10,-4.8,22.1
RASEF,RAB1B,10,-4.8,22.1
RAB6B,RAB40C,10,-4.8,22.1
RAB33B,RAB7B,10,-4.8,22.1
RAB15,RAB11B,10,-4.8,22.1
RAB14,RASEF,10,-4.8,22.1
RAB36,RAB3D,10,-4.8,22.1
RAB3A,RAB24,10,-4.8,22.1
RAB18,RAB11A,10,-4.8,22.1
RAB5B,RASEF,10,-4.8,22.1
RAB3A,RAB23,10,-4.8,22.1
RAB3A,RAB29,10,-4.8,22.1
RAB19,RAB11B,9,-5.8,19.1
RAB9B,RAB11B,9,-5.8,19.1
RAB40B,RAB8B,9,-5.8,19.1
RAB33A,RAB40B,9,-5.8,19.1
RAB5C,RAB11B,9,-5.8,19.1
RAB35,RASEF,9,-5.8,19.1
RAB27A,RAB3A,9,-5.8,19.1
RAB36,RAB33B,9,-5.8,19.1
RAB41,RAB40C,9,-5.8,19.1
RAB7A,RAB36,9,-5.8,19.1
RAB3A,RAB5A,9,-5.8,19.1
RAB3D,RAB41,9,-5.8,19.1
RAB11B,RAB7B,9,-5.8,19.1
RAB2A,RAB3A,9,-5.8,19.1
RAB36,RAB34,9,-5.8,19.1
RAB36,CRACR2A,9,-5.8,19.1
RAB11A,RAB7B,9,-5.8,19.1
RAB34,RAB39B,9,-5.8,19.1
