family,size,obs_overlap,null_mean,excess,p,q
EF-hand domain containing,7,1.7142857142857142,3.7623428571428574,-2.048057142857143,0.6124387561243876,0.7881134963426735
Serine proteases,15,1.542857142857143,3.7488876190476184,-2.2060304761904757,0.8127187281271873,0.8653949419872828
C2-set domain containing,11,1.4727272727272727,3.7808509090909093,-2.3081236363636366,0.7665233476652334,0.8642174998186456
Integrin alpha subunits,6,1.4,3.8048800000000003,-2.4048800000000004,0.6372362763723628,0.7910964222726663
Gla domain containing,7,1.3333333333333333,3.7623428571428574,-2.4290095238095244,0.6905309469053095,0.8103169274909244
Receptor ligands,28,1.3095238095238095,3.7571076719576726,-2.447583862433863,0.954904509549045,0.9663068780841214
Phospholipases,5,1.2,3.7082900000000003,-2.5082900000000006,0.622937706229377,0.7881134963426735
Sushi domain containing,10,1.1777777777777778,3.701064444444444,-2.5232866666666665,0.806019398060194,0.8653949419872828
Ankyrin repeat domain containing,7,1.2380952380952381,3.7623428571428574,-2.5242476190476193,0.7118288171182882,0.8268718582687186
Ribosomal protein S6 kinase family,6,1.2,3.8048800000000003,-2.6048800000000005,0.6816318368163183,0.8103169274909244
Mixed lineage kinase family,5,1.0,3.7082900000000003,-2.7082900000000003,0.6779322067793221,0.8103169274909244
Proteins encoded by multiple genes,8,1.0714285714285714,3.8744857142857145,-2.803057142857143,0.7925207479252074,0.8653949419872828
E2F transcription factors,8,1.0,3.8744857142857145,-2.8744857142857145,0.8077192280771923,0.8653949419872828
MAPK activated protein kinases,8,1.0,3.8744857142857145,-2.8744857142857145,0.8077192280771923,0.8653949419872828
IPT domain containing,5,0.8,3.7082900000000003,-2.90829,0.7343265673432656,0.836114408361144
Neuropeptides,7,0.7619047619047619,3.7623428571428574,-3.0004380952380956,0.83001699830017,0.8757060073809133
C-type lectin domain containing,9,0.6111111111111112,3.699986111111111,-3.088875,0.9187081291870813,0.9433163826474497
P2Y receptors,5,0.6,3.7082900000000003,-3.10829,0.7921207879212079,0.8653949419872828
Complement system regulators and receptors,6,0.6,3.8048800000000003,-3.20488,0.8387161283871613,0.8768395887683959
Chemokine ligands,5,0.4,3.7082900000000003,-3.3082900000000004,0.8614138586141386,0.8924557994650985
Ig-like cell adhesion molecule family,8,0.2857142857142857,3.8744857142857145,-3.588771428571429,0.9692030796920308,0.9692030796920308
Blood group antigens,6,0.2,3.8048800000000003,-3.60488,0.9579042095790421,0.9663068780841214
