disease,diseaseId,rab_genes_topk,all_genes_topk_pct,enrichment,excess_contribution
urinary bladder cancer,MONDO_0001187,4,0.2004,0.31,-0.0372
Pleuropulmonary blastoma,EFO_0009052,4,0.2095,0.3,-0.0409
contracture,EFO_0003899,2,0.2052,0.15,-0.0416
anemia,MONDO_0002280,1,0.2276,0.07,-0.0518
postherpetic neuralgia,MONDO_0041052,3,0.2326,0.2,-0.0526
verrucous carcinoma of oral cavity,MONDO_0021538,1,0.2469,0.06,-0.0609
intermittent vascular claudication,EFO_0003876,12,0.3226,0.58,-0.0713
iatrogenic botulism,MONDO_0016778,4,0.3698,0.17,-0.1337
histiocytic neoplasm,EFO_0021520,3,0.3839,0.12,-0.1459
pituitary-dependent Cushing's disease,EFO_1001110,47,0.8524,0.86,-0.1904
sprain,EFO_0009582,5,0.4601,0.17,-0.2068
macular degeneration,EFO_0009606,1,0.4833,0.03,-0.2336
uveitis,EFO_1001231,4,0.4997,0.13,-0.2467
Hyperammonemia due to N-acetylglutamate synthetase deficiency,Orphanet_927,4,0.5023,0.12,-0.2493
constipation disorder,MONDO_0002203,5,0.5077,0.15,-0.2528
drug interaction,EFO_0009878,45,0.8696,0.81,-0.2652
congenital fibrinogen deficiency,MONDO_0018060,4,0.5571,0.11,-0.3073
childhood brain stem glioma,MONDO_0003869,11,0.5974,0.29,-0.3296
lipodystrophy,EFO_1000727,8,0.5896,0.21,-0.3338
perceptual disorders,MONDO_0024417,4,0.6007,0.1,-0.3579
chronic renal failure syndrome,MONDO_0024327,41,0.8782,0.73,-0.3644
refractory hematologic cancer,MONDO_0004111,41,0.8983,0.71,-0.4002
incomplete abortion,EFO_1001799,31,0.8002,0.61,-0.4096
drug toxicity,EFO_0020003,40,0.9131,0.68,-0.4468
Penile Fibromatosis,EFO_1000466,7,0.7167,0.15,-0.5032
Rh isoimmunization,EFO_1001159,12,0.7569,0.25,-0.5402
