Model,n_runs,ROC-AUC,ROC-AUC SD,ROC-AUC CI Low,ROC-AUC CI High,PR-AUC,PR-AUC SD,PR-AUC CI Low,PR-AUC CI High
OTRec,4,0.8731136257288468,0.0056014954070457345,0.8642003965477386,0.8820268549099549,0.28965872956882444,0.008741014999362551,0.27574982412424903,0.30356763501339984
OTTree (CatBoost),4,0.8535237970915783,0.0031188148149080934,0.8485610667492941,0.8584865274338626,0.22108722875606795,0.004137408233115311,0.21450368898360384,0.22767076852853207
Target Mean Baseline,1,0.8324864526018281,0.0,0.8324864526018281,0.8324864526018281,0.2987767360644544,0.0,0.2987767360644544,0.2987767360644544
Matrix Factorization,4,0.552602810908658,9.592634477571352e-05,0.5524501706879026,0.5527554511294135,0.04993060062917924,2.1136349534698157e-05,0.0498969679804373,0.04996423327792118
TF-IDF cosine,1,0.5119450226409175,0.0,0.5119450226409175,0.5119450226409175,0.04185937038657269,0.0,0.04185937038657269,0.04185937038657269
Disease Mean Baseline,1,0.5939731048690047,0.0,0.5939731048690047,0.5939731048690047,0.051880742164167534,0.0,0.051880742164167534,0.051880742164167534
Open Targets Score,1,0.5586678720755341,0.0,0.5586678720755341,0.5586678720755341,0.08226213937068544,0.0,0.08226213937068544,0.08226213937068544
