gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Fxyd6,FXYD domain-containing ion transport regulator 6,59095,56.0,P56,M,prosomere 3,4.52163
Vdr,vitamin D receptor,22337,56.0,P56,M,prosomere 3,0.272481
Vdr,vitamin D receptor,22337,56.0,P56,M,prosomere 3,0.425237
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,2.20089
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,2.03231
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,2.37478
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,2.91273
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,1.90812
Vegfa,vascular endothelial growth factor A,22339,56.0,P56,M,prosomere 3,3.10905
Scg5,secretogranin V,20394,56.0,P56,M,prosomere 3,19.2994
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,0.272892
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,0.234371
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,0.2497
Pvalb,parvalbumin,19293,56.0,P56,M,prosomere 3,9.33474
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,0.266411
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,0.224911
Vegfb,vascular endothelial growth factor B,22340,56.0,P56,M,prosomere 3,1.10575
Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",22348,56.0,P56,M,prosomere 3,15.3363
Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",22348,56.0,P56,M,prosomere 3,2.27155
Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",22348,56.0,P56,M,prosomere 3,5.32969
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.149442
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0423208
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0421241
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0228168
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0386533
Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7,59125,56.0,P56,M,prosomere 3,0.507353
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0261159
Vip,vasoactive intestinal polypeptide,22353,56.0,P56,M,prosomere 3,0.0219513
Vipr1,vasoactive intestinal peptide receptor 1,22354,56.0,P56,M,prosomere 3,0.151616
Vipr2,vasoactive intestinal peptide receptor 2,22355,56.0,P56,M,prosomere 3,0.235671
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,2.05044
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.972658
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.04903
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.922789
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.90584
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.647349
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.592376
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.33431
Npvf,neuropeptide VF precursor,60531,56.0,P56,M,prosomere 3,0.498359
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.778511
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.59561
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.0778
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.48384
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.945044
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.57044
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.816663
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.22061
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.541962
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.981952
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.91573
Trpv4,"transient receptor potential cation channel, subfamily V, member 4",63873,56.0,P56,M,prosomere 3,0.0684628
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.70606
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,2.24069
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,0.982257
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,2.03636
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.73154
Wfs1,Wolfram syndrome 1 homolog (human),22393,56.0,P56,M,prosomere 3,1.85837
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,0.667293
Wnt1,"wingless-type MMTV integration site family, member 1",22408,56.0,P56,M,prosomere 3,0.0727782
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,3.55561
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,6.60612
Wnt10b,"wingless-type MMTV integration site family, member 10B",22410,56.0,P56,M,prosomere 3,1.0612
