gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,1.90569
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,1.5761
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.4917
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,1.61636
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.53556
Pclo,piccolo (presynaptic cytomatrix protein),26875,56.0,P56,M,prosomere 3,1.29078
Pvalb,parvalbumin,19293,56.0,P56,M,prosomere 3,8.69965
B3galt2,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",26878,56.0,P56,M,prosomere 3,1.18066
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,7.95724
Cntrl,centriolin,26920,56.0,P56,M,prosomere 3,0.542958
Vat1,vesicle amine transport protein 1 homolog (T californica),26949,56.0,P56,M,prosomere 3,0.693934
Etv3,ets variant 3,27049,56.0,P56,M,prosomere 3,0.620502
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,15.006
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,10.6877
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,18.0839
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,12.8092
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,16.5707
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,15.9229
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,14.9701
Scg2,secretogranin II,20254,56.0,P56,M,prosomere 3,18.51
