axis,stratum,model,n_diseases,n_pairs,n_positives,Hit@1,Hit@5,Hit@10,MRR,pair_ROC,pair_PR
therapeutic_area,MONDO_0045024,OTRec,535,71805,7324,0.6056074766355141,0.8299065420560747,0.897196261682243,0.7116164723849817,0.8179582688768026,0.40901111556203007
therapeutic_area,MONDO_0045024,OTTree,535,71805,7324,0.48785046728971965,0.7401869158878505,0.8373831775700935,0.6046201031098567,0.7521655052372085,0.28038770969468757
therapeutic_area,MONDO_0045024,TargetMean,535,71805,7324,0.49906542056074765,0.7009345794392523,0.77196261682243,0.595636959590125,0.816556379831396,0.45936721107908385
therapeutic_area,OTAR_0000018,OTRec,403,42763,4841,0.46153846153846156,0.771712158808933,0.8535980148883374,0.5935592805016452,0.8072951654174938,0.356560779274008
therapeutic_area,OTAR_0000018,OTTree,403,42763,4841,0.3970223325062035,0.6898263027295285,0.8138957816377171,0.5251100199650449,0.7673167912553105,0.3028192305727806
therapeutic_area,OTAR_0000018,TargetMean,403,42763,4841,0.38461538461538464,0.6277915632754343,0.7245657568238213,0.4969590703048031,0.8465143980891816,0.509575752591246
therapeutic_area,EFO_0000618,OTRec,308,37220,3892,0.44805194805194803,0.724025974025974,0.8441558441558441,0.5711187242499166,0.8141586363992955,0.34721575130593196
therapeutic_area,EFO_0000618,OTTree,308,37220,3892,0.44155844155844154,0.6883116883116883,0.814935064935065,0.5508050799611112,0.7870157786396902,0.32001222917515537
therapeutic_area,EFO_0000618,TargetMean,308,37220,3892,0.4512987012987013,0.6396103896103896,0.75,0.5485624877491843,0.8621777467436929,0.4947733553228258
therapeutic_area,OTAR_0000006,OTRec,193,19150,1891,0.44559585492227977,0.7357512953367875,0.8134715025906736,0.569899519156944,0.8118330279569035,0.3750513765754908
therapeutic_area,OTAR_0000006,OTTree,193,19150,1891,0.41450777202072536,0.6683937823834197,0.772020725388601,0.5261757694176652,0.7721760079865749,0.32756364693957196
therapeutic_area,OTAR_0000006,TargetMean,193,19150,1891,0.36787564766839376,0.5751295336787565,0.689119170984456,0.4704462420026986,0.8278099311852837,0.5003342502714786
therapeutic_area,EFO_0010282,OTRec,186,26277,2656,0.543010752688172,0.8225806451612904,0.9086021505376344,0.6737826502389078,0.8337643496597625,0.40764215448852825
therapeutic_area,EFO_0010282,OTTree,186,26277,2656,0.46236559139784944,0.7204301075268817,0.8333333333333334,0.5890238175128815,0.7809923545415735,0.2873762976684271
therapeutic_area,EFO_0010282,TargetMean,186,26277,2656,0.44623655913978494,0.6935483870967742,0.7741935483870968,0.5576202707421009,0.8256953000393259,0.4718371447327377
therapeutic_area,EFO_0000540,OTRec,177,21014,1753,0.4293785310734463,0.6779661016949152,0.768361581920904,0.5454987761090287,0.8237582613685194,0.33976311319931796
therapeutic_area,EFO_0000540,OTTree,177,21014,1753,0.3559322033898305,0.6101694915254238,0.6892655367231638,0.4697685260884475,0.7879839475345328,0.34127845602474716
therapeutic_area,EFO_0000540,TargetMean,177,21014,1753,0.3389830508474576,0.5423728813559322,0.6214689265536724,0.43885434487515895,0.8048339214405837,0.4507263241255324
therapeutic_area,EFO_0001379,OTRec,172,21833,2137,0.4883720930232558,0.75,0.8255813953488372,0.6037566970064187,0.8019353698918935,0.3734302616381062
therapeutic_area,EFO_0001379,OTTree,172,21833,2137,0.43023255813953487,0.6802325581395349,0.7325581395348837,0.5430562486358754,0.7627962579167786,0.2951408531564388
therapeutic_area,EFO_0001379,TargetMean,172,21833,2137,0.36046511627906974,0.5988372093023255,0.6686046511627907,0.4770810004411242,0.8066552757743627,0.42313806601235665
therapeutic_area,EFO_0005803,OTRec,168,18362,2013,0.47023809523809523,0.7261904761904762,0.8095238095238095,0.5832984775471891,0.7399133900489075,0.2687235809098443
therapeutic_area,EFO_0005803,OTTree,168,18362,2013,0.36904761904761907,0.6369047619047619,0.7619047619047619,0.49348139421759674,0.6922637877346092,0.21722682580545252
therapeutic_area,EFO_0005803,TargetMean,168,18362,2013,0.3869047619047619,0.6130952380952381,0.7023809523809523,0.49037483559915834,0.8215037481764579,0.506928716321353
therapeutic_area,EFO_0000319,OTRec,135,16072,916,0.3333333333333333,0.6074074074074074,0.7851851851851852,0.4723024775047711,0.7952446305151317,0.25964087012433684
therapeutic_area,EFO_0000319,OTTree,135,16072,916,0.362962962962963,0.6222222222222222,0.7703703703703704,0.4744729251255651,0.791792360902221,0.33178062847772677
therapeutic_area,EFO_0000319,TargetMean,135,16072,916,0.34074074074074073,0.5851851851851851,0.674074074074074,0.44009301016446867,0.7878965238953026,0.322960151165265
therapeutic_area,OTAR_0000017,OTRec,129,15651,1493,0.5968992248062015,0.8062015503875969,0.8837209302325582,0.7027314212589153,0.819680664497608,0.42285498145230965
therapeutic_area,OTAR_0000017,OTTree,129,15651,1493,0.46511627906976744,0.7131782945736435,0.7829457364341085,0.5754712820177261,0.7525008404337726,0.2844912088541661
therapeutic_area,OTAR_0000017,TargetMean,129,15651,1493,0.46511627906976744,0.6589147286821705,0.7286821705426356,0.5606616072696989,0.8405565852492212,0.5075405871052051
known_targets_2022,0 known (orphan),OTRec,610,53358,8181,0.5754098360655737,0.8163934426229508,0.8967213114754098,0.6804203606478876,0.8994641422316623,0.686359640078269
known_targets_2022,0 known (orphan),OTTree,610,53358,8181,0.559016393442623,0.8,0.8868852459016393,0.66241533280737,0.8795270837312879,0.6363949260943593
known_targets_2022,0 known (orphan),TargetMean,610,53358,8181,0.5377049180327869,0.7524590163934426,0.8163934426229508,0.6358214782502256,0.8678044805806231,0.626680771062083
known_targets_2022,1-2 known,OTRec,106,8875,823,0.44339622641509435,0.8018867924528302,0.8962264150943396,0.603177750032779,0.8107847291511614,0.3150619017421691
known_targets_2022,1-2 known,OTTree,106,8875,823,0.5,0.7641509433962265,0.8773584905660378,0.6226745032677578,0.8274153904843305,0.29518370462483867
known_targets_2022,1-2 known,TargetMean,106,8875,823,0.37735849056603776,0.6981132075471698,0.8490566037735849,0.5220603191030864,0.8467820648168437,0.4385166924858171
known_targets_2022,3-10 known,OTRec,142,12083,849,0.3732394366197183,0.647887323943662,0.7816901408450704,0.5151260464247299,0.8909115710279643,0.48481586757689493
known_targets_2022,3-10 known,OTTree,142,12083,849,0.352112676056338,0.6267605633802817,0.7323943661971831,0.47389798852593873,0.8901781630851825,0.5553858984379857
known_targets_2022,3-10 known,TargetMean,142,12083,849,0.323943661971831,0.528169014084507,0.647887323943662,0.4220442216961623,0.8379489803899614,0.4080636963235786
known_targets_2022,>10 known,OTRec,597,101448,6221,0.37185929648241206,0.6482412060301508,0.7688442211055276,0.503646113058721,0.8293329712535364,0.25053282607536714
known_targets_2022,>10 known,OTTree,597,101448,6221,0.2747068676716918,0.5376884422110553,0.6800670016750419,0.40346710004494013,0.8100975912062185,0.28169815225418215
known_targets_2022,>10 known,TargetMean,597,101448,6221,0.2948073701842546,0.5041876046901173,0.6164154103852596,0.40237175034672146,0.7753983604320573,0.2975381521178862
target_annotation_volume,Q1 (<=22),OTRec,1310,33332,4373,0.5538674033149171,0.8107734806629834,0.8977900552486188,0.669174361166086,0.8259725833475491,0.4068055965179012
target_annotation_volume,Q1 (<=22),OTTree,1310,33332,4373,0.5138121546961326,0.7886740331491713,0.861878453038674,0.636074113577527,0.778362048201015,0.3767575594439307
target_annotation_volume,Q1 (<=22),TargetMean,1310,33332,4373,0.47651933701657456,0.7375690607734806,0.8287292817679558,0.5938040648100931,0.8733438019372854,0.6198644369493206
target_annotation_volume,Q2 (22-33],OTRec,1360,34949,3557,0.5622775800711743,0.8790035587188612,0.9513641755634639,0.6989880362928292,0.7883778516941368,0.3326828211602305
target_annotation_volume,Q2 (22-33],OTTree,1360,34949,3557,0.4875444839857651,0.8066429418742586,0.9134045077105575,0.6278187019505044,0.7278779574782837,0.23794732942089192
target_annotation_volume,Q2 (22-33],TargetMean,1360,34949,3557,0.465005931198102,0.7793594306049823,0.8695136417556346,0.6100278576096536,0.8241431296044583,0.40675308076371075
target_annotation_volume,Q3 (33-55],OTRec,1382,40803,3916,0.5742690058479533,0.8502923976608188,0.9239766081871345,0.6901319368561831,0.8074370694221618,0.3918731244859419
target_annotation_volume,Q3 (33-55],OTTree,1382,40803,3916,0.5567251461988304,0.8116959064327486,0.9029239766081871,0.6713758602087102,0.7664191023946281,0.29979192646814906
target_annotation_volume,Q3 (33-55],TargetMean,1382,40803,3916,0.5403508771929825,0.7625730994152047,0.8502923976608188,0.643378971724619,0.8326417478851362,0.4417257592727756
