rung,variant,aux_weight,roc_auc,pr_auc,bin0_roc,bin0_pr,bin1_roc,bin1_pr,bin2plus_roc,bin2plus_pr
R1,text-only,0.1,0.8733428647405531,0.2797331197369703,0.8813749209934619,0.20241801915307775,0.7119615942443067,0.01243232830758841,0.8664207978985754,0.2893052920123545
R2,+ontology,0.1,0.8706963158425729,0.27520509431264273,0.8848244254381032,0.17234931925500416,0.7158623063589634,0.012894096595460458,0.8640021367358303,0.28929133419451475
R3,+GO/pathway,0.1,0.8775494362766255,0.2826201798214544,0.8881027090751888,0.21833683405076673,0.7218259604840311,0.01279592308547639,0.8695534716494174,0.291627119422105
R4,+tractability (full),0.1,0.8709525750223573,0.2820831782746955,0.8918293839978069,0.23670957979918322,0.7275942048506518,0.013855918802606844,0.8627458001368441,0.29022084933162995
R5,"full, -auxiliary head",0.0,0.878531964193711,0.2929749452468658,0.8854804947072495,0.2573279562851214,0.7247419706827538,0.012886345204176705,0.8703585251836455,0.30002045831401175
