repeat,fold,roc_auc,pr_auc,loss,best_epoch,best_val_pr_auc,runtime_seconds,train_rows,val_rows,test_rows
0,0,0.9162315615052502,0.5904380190381795,0.6270590756809562,10,0.713619952815407,31.411549059000208,468860,55144,139347
0,1,0.9101275520085804,0.6479732976814021,0.6813958872246169,9,0.6742804286516769,31.180685437000196,481198,53380,128773
0,2,0.9165605566128028,0.7098335708133106,0.7633884347529869,14,0.6879729101123879,42.79464868199966,483406,56757,123188
0,3,0.91100816067253,0.6646297903539959,0.91484901056109,18,0.7404157741936007,50.2932226529997,479360,41145,142846
0,4,0.8944091721219503,0.6300669712140802,1.0695984809379564,19,0.7831219863377773,51.285534181,483258,50896,129197
1,0,0.9084278330368656,0.6638572519746241,0.8065630426171518,15,0.6734186119243339,47.96530415200005,462445,55165,145741
1,1,0.909647675635928,0.6744623298780015,0.9138576269548122,13,0.6937054816575117,41.7707587660002,482057,52012,129282
1,2,0.9057278194960277,0.6501290527082877,0.9651780972646588,19,0.6818432460726414,48.10476513699996,486060,50299,126992
1,3,0.9274727390044444,0.7170578515991356,0.7874607150557443,20,0.6607816591834955,46.63931971299962,470421,56010,136920
1,4,0.9097467595111558,0.6433706808468554,0.7501946605527352,15,0.6385764866848573,45.1074630119997,483495,55440,124416
2,0,0.91383992585103,0.6622073121129536,0.821046888908964,17,0.6964035751587698,48.72505507200003,484252,47607,131492
2,1,0.9019698919451332,0.6426638435263238,0.8479408711780307,18,0.7009366336735237,45.76743436100014,463764,45615,153972
2,2,0.9144485746577242,0.6547111270603478,0.7406493949406731,18,0.6897205776953621,47.0999172529996,481511,52423,129417
2,3,0.9048256052190192,0.6657169826452929,1.018810962111802,18,0.7808081645417563,48.40702911900007,487212,54114,122025
2,4,0.9302926992379056,0.7254181685887846,0.7604572776140393,16,0.6551641498372025,48.71507419799991,478508,58398,126445
3,0,0.8982941496145764,0.6448223218358281,0.8621672667826517,13,0.6103412139442824,42.72845194199999,483903,56419,123029
3,1,0.9108910505373924,0.6484652261877192,0.7410560497350881,12,0.6807897190367713,35.45459638000011,457865,54938,150548
3,2,0.9234998627941527,0.6927127641148377,0.7585129353779735,18,0.708156710909706,52.02650933699988,488609,48985,125757
3,3,0.919428112030184,0.6863941667035598,0.7199630198788514,16,0.6907627587493563,50.049530199999936,475630,52557,135164
3,4,0.9096248938393364,0.6725954476899019,0.927353368497369,16,0.7107519394814028,54.80035295299968,484336,50162,128853
4,0,0.9052455618415008,0.6554646242725022,0.9244070871358552,20,0.5801685169823122,47.54195174600045,472701,57716,132934
4,1,0.9214381970110772,0.6815514019748949,0.7343358297731901,18,0.6657376568094152,49.882971726000505,475521,53755,134075
4,2,0.9035639580881888,0.662377950023451,0.805202616272749,13,0.7384873616152365,41.17215109499921,464405,52331,146615
4,3,0.9114082460762004,0.6634464660880384,0.782632078021057,19,0.6431156262386094,56.50016411700017,483989,53190,126172
4,4,0.9138539686606192,0.6963837513998768,0.9100830693212324,20,0.6695419876257014,56.33376863800004,488308,51488,123555
