subset,n,pos,paper_roc,paper_pr,stripped_roc,stripped_pr,native_roc,native_pr
pooled,403132,16074,0.8769329579889926,0.2861908276803382,0.8700741349753122,0.2821357689490887,0.8189±0.0163,0.1794±0.0162
covered,235076,8844,0.8539726681094684,0.2094344291824802,0.8451105316390186,0.1989320426852494,0.8470±0.0095,0.1994±0.0130
uncovered,168056,7230,0.9214355014815545,0.5255165673940965,0.9173644178285068,0.5247151020314424,0.8179±0.0173,0.1686±0.0179
