metric,mean,std
auc,0.949559211730957,0.011087662641460242
pr_auc,0.8440864682197571,0.017215338814090427
bce,0.14104908794164658,0.02442462029278131
accuracy,0.9580907145506616,0.0037500927332158873
precision,0.8703678203331547,0.01533369401223044
recall,0.689768084378595,0.033942493013135074
f1,0.7692021317539011,0.023699771143963395
