auc,pr_auc,bce,accuracy,precision,recall,f1,repeat,fold
0.9319083094596863,0.8644305467605591,0.20411624014377594,0.9606696479761495,0.9106989121076935,0.7439897698209719,0.8189464053207587,0,0
0.95679771900177,0.836267352104187,0.13946232199668884,0.950641192553053,0.8565056467685299,0.6646292068635393,0.7484657488804114,0,1
0.9373528361320496,0.8038877844810486,0.15499278903007507,0.9540813990752186,0.8684928836030416,0.6110006172416158,0.7173396674584323,0,2
0.9525783658027649,0.8462390303611755,0.1178698018193245,0.9641835329024054,0.8579539480601409,0.7070444502209514,0.775223256697701,0,3
0.9573202729225159,0.8418395519256592,0.12686105072498322,0.9578241227401482,0.8810020876826722,0.6576983020260848,0.753146721773436,0,4
0.9557482004165649,0.8449298143386841,0.14342236518859863,0.9495665094050609,0.8699058181498107,0.6593062041360908,0.7501043603658305,1,0
0.9484484195709229,0.849909782409668,0.15041974186897278,0.9527019056082925,0.8656456953642384,0.7042699353448276,0.7766636957813429,1,1
0.9546960592269897,0.8309324979782104,0.12065845727920532,0.9609758464823493,0.8415619826662771,0.6834862385321101,0.7543316021472527,1,2
0.9542690515518188,0.8304672241210938,0.1221315935254097,0.9602216720092519,0.8591740013540962,0.6626055173614133,0.7481943693804353,1,3
0.9586234092712402,0.865935206413269,0.1224682554602623,0.9616443730243155,0.8744366881682425,0.7298473338741795,0.7956263064801415,1,4
0.9319678544998169,0.8415905237197876,0.1882835179567337,0.9576633901217111,0.883059253458627,0.7060665089745374,0.7847063826497082,2,0
0.9380404949188232,0.8512986302375793,0.16735345125198364,0.9569255087927288,0.8683538043030253,0.7321887815388892,0.7944792216607587,2,1
0.9569196105003357,0.8329473733901978,0.11972317844629288,0.9596661738222537,0.8646397334443982,0.6507836990595611,0.7426220711858343,2,2
0.9598846435546875,0.8521218299865723,0.12125095725059509,0.9596801502278045,0.8799669728558158,0.6765592763053484,0.7649724103898434,2,3
0.9576443433761597,0.8633368611335754,0.12186776101589203,0.9618968636911942,0.8779516873247082,0.7236930419867253,0.7933938353364401,2,4
0.9508079886436462,0.8646897673606873,0.14643603563308716,0.9574923228287767,0.8821359846055163,0.7221529373153922,0.7941675388890894,3,0
0.9465707540512085,0.8493918180465698,0.15179716050624847,0.9537952735679425,0.8680668666952421,0.7059889841734645,0.7786834820055367,3,1
0.9584956169128418,0.8332955837249756,0.12010163813829422,0.9591111612430206,0.8610716460320682,0.6569371322390833,0.7452788757136584,3,2
0.9309083819389343,0.8234788179397583,0.15508103370666504,0.962569308983673,0.8601024970014175,0.6871678717658333,0.7639709443099274,3,3
0.9589888453483582,0.8541398048400879,0.12528660893440247,0.9584983666417702,0.8821855435401252,0.6858912899181355,0.7717522094518899,3,4
0.9449877142906189,0.8625732660293579,0.16029644012451172,0.9579132574017704,0.8750791139240506,0.7429473401397099,0.8036181342632955,4,0
0.9710038900375366,0.8773273229598999,0.10584738105535507,0.9624774030067521,0.8770130368098159,0.7190914092588226,0.7902396890520406,4,1
0.9298318028450012,0.8259245753288269,0.17364175617694855,0.9544315626946935,0.8960361613351877,0.6507164951707595,0.7539221064179923,4,2
0.9554926753044128,0.8350005745887756,0.12252607196569443,0.9586251720446551,0.8418412511065211,0.6923636951949522,0.759820675573705,4,3
0.939693033695221,0.8202061653137207,0.14433158934116364,0.9590117469215507,0.8563142919676078,0.6677760710018774,0.7503835826620636,4,4
