rung,variant,seed,aux_weight,roc_auc,pr_auc,bin0_roc,bin0_pr,bin1_roc,bin1_pr,bin2plus_roc,bin2plus_pr
R1,text-only,43,0.1,0.8677927654281014,0.27061030206487324,0.8828579285595411,0.19404498882107074,0.7078064582840132,0.012442097766073076,0.8595420948773824,0.2816128398659735
R4,+tractability (full),43,0.1,0.8699331282103274,0.28954514391643943,0.8872256101811973,0.22865205947215544,0.7023353251863281,0.015566958549898664,0.860058054542779,0.29676675402653807
R1,text-only,44,0.1,0.8770228485590179,0.29702081745881104,0.8777438662080481,0.18763177685095828,0.7245402683559322,0.013052783882991529,0.8710095820302641,0.3081037758457047
R4,+tractability (full),44,0.1,0.880400994591865,0.290721710681338,0.886316515318218,0.24713595370696845,0.7278824725099796,0.01259103865709799,0.8730557751846207,0.29763991113911725
R1,text-only,45,0.1,0.8765635827521725,0.29356043098018847,0.8817145963403903,0.16233497053424611,0.7136119478526355,0.011924053505010706,0.8705220270110694,0.3097066661443845
R4,+tractability (full),45,0.1,0.8676374347069742,0.3047244869312339,0.8878905379045259,0.28021877292839725,0.709435383145985,0.012308305909056728,0.8573292929051192,0.31042108620791964
