rung,variant,seed,roc_auc,pr_auc,bin0_roc,bin0_pr
R1,text-only,42,0.8733428647405531,0.2797331197369703,0.8813749209934619,0.2024180191530777
R1,text-only,43,0.8677927654281014,0.2706103020648732,0.8828579285595411,0.1940449888210707
R1,text-only,44,0.8770228485590179,0.297020817458811,0.8777438662080481,0.1876317768509582
R1,text-only,45,0.8765635827521725,0.2935604309801884,0.8817145963403903,0.1623349705342461
R4,+tractability (full),42,0.8709525750223573,0.2820831782746955,0.8918293839978069,0.2367095797991832
R4,+tractability (full),43,0.8699331282103274,0.2895451439164394,0.8872256101811973,0.2286520594721554
R4,+tractability (full),44,0.880400994591865,0.290721710681338,0.886316515318218,0.2471359537069684
R4,+tractability (full),45,0.8676374347069742,0.3047244869312339,0.8878905379045259,0.2802187729283972
