depth,ROC_AUC,PR_AUC,learning_rate,iterations,l2_leaf_reg,auto_class_weights
8,0.8599449254603069,0.22896536489490846,,,,
6,0.8496044425949565,0.21671271431084732,,,,
10,0.8597608180812626,0.22648122326922415,,,,
8,0.8464066880786115,0.21224388083938464,0.03,,,
8,0.852780148738694,0.21986817238450862,0.15,,,
8,0.8588984877131723,0.22612383200307934,,2000.0,,
8,0.8500685345145981,0.21632947312778894,,,10.0,
10,0.8550978727734995,0.22320343086056166,0.03,2000.0,,
8,0.8540930666382962,0.22268497982367533,,,,Balanced
