Model,ROC-AUC,ROC-AUC SD,PR-AUC,PR-AUC SD,n
OTRec,0.8724449851638838,0.005076215531469885,0.2878922815755218,0.008538483470706295,5
OTTree (CatBoost),0.8548080227653241,0.00394226233180978,0.22266285598383603,0.005025098603013522,5
Target Mean Baseline,0.8324864526018281,0.0,0.2987767360644544,0.0,1
Disease Mean Baseline,0.5939731048690047,0.0,0.0518807421641675,0.0,1
Open Targets Score,0.5586678720755341,0.0,0.0822621393706854,0.0,1
Matrix Factorization,0.552596592410243,0.00008423031716199628,0.0499261667721908,0.000020817165818330042,5
TF-IDF cosine,0.5119450226409175,0.0,0.0418593703865726,0.0,1
