fold,roc_auc,prauc,accuracy,f1,precision,recall,repeat
0,0.9559877245945821,0.8105459300720851,0.9394700339599177,0.7234383536696413,0.7197419915929845,0.7271728783773889,0
1,0.9503502504602376,0.779059655333666,0.9434632689962575,0.6967179217263807,0.7039428701663755,0.6896397737421852,0
2,0.940199343226353,0.7321793063523598,0.9369151161510514,0.6515305088181634,0.687457221081451,0.6191723819064499,0
3,0.9514558303243709,0.7844609990442328,0.9391060145097121,0.7137933563100388,0.7309454081249531,0.6974278140001433,0
4,0.942433267298413,0.753867215390553,0.9359727192097135,0.6737063591022444,0.7109959700633276,0.6401332839689005,0
0,0.9603306678679646,0.8153804341830823,0.9471888538013552,0.7293428757319453,0.7319023912511222,0.7268011994489019,1
1,0.9525587355941529,0.7895029086773442,0.9406497064579257,0.7062378922898102,0.733403073951879,0.6810132257341404,1
2,0.9421006172511042,0.7374377116834666,0.9386073402971286,0.6674469287270967,0.6853709075839204,0.6504365610005506,1
3,0.9373963290326184,0.747585931482971,0.9379253383935946,0.6649720011788978,0.7247831673626727,0.6142798802069154,1
4,0.9506907477920549,0.7809099468161085,0.93299857196076,0.7052678297087843,0.6938734381297864,0.7170426935091982,1
0,0.9454961629911829,0.7518305760253436,0.9396529668383246,0.6744753883718462,0.7088136853849014,0.6433103820710139,2
1,0.9457169807111232,0.775721623049677,0.9412542576637948,0.6944560233430596,0.7391304347826086,0.654874213836478,2
2,0.9398798747819055,0.7473829507819566,0.9348721547568194,0.6691467100674262,0.6822060682680152,0.6565779467680608,2
3,0.9528335474832145,0.7946699181243101,0.9373793036578567,0.714527773684986,0.690566037735849,0.7402121651530184,2
4,0.9484964019480995,0.7808246071568674,0.9390634045275891,0.6978395528025382,0.7256303511114602,0.6720989450709349,2
0,0.9546616176652584,0.8096425200394721,0.9416208681161975,0.7258980628173782,0.7481004806946814,0.7049755242200628,3
1,0.9458400224616053,0.7479956377917205,0.9376234868512592,0.6798314526496215,0.703391709155398,0.6577983553313523,3
2,0.9462237758552465,0.7822141648832877,0.930053363325277,0.6938946486543094,0.6948406040268457,0.6929512654256432,3
3,0.9466532620185714,0.7688342438945899,0.9465421848526817,0.6928173224529369,0.7249133485501733,0.6634429400386848,3
4,0.9441937293918032,0.7508240242358637,0.9387792009687134,0.674525541342697,0.6828029790115098,0.6664463902197257,3
0,0.9467792405569347,0.7792470044712744,0.9347330327568546,0.6951632617426227,0.6879319878352226,0.7025481753370509,4
1,0.955856088986974,0.7863996507042513,0.9473010981119655,0.7053903734370426,0.7276962899050906,0.684411263491033,4
2,0.9547024231468147,0.7882517321381708,0.9442685569471481,0.7116634363242503,0.7176912463590372,0.7057360367829955,4
3,0.9417673057202787,0.7555441227793825,0.9353334048191664,0.6709793071197537,0.7156275976724854,0.6315750862005722,4
4,0.9430868098031784,0.7552528963872279,0.9307575042367308,0.6750199753032614,0.6940253920836446,0.6570277149321267,4
